GlobalSeq,GreatBooksSet,Evidence,PresentIn1952Set,PresentIn1990Set,EditionNotes,IsGreatBooksCoreOrExpansion,YearLabel,Year,SeqInYear,Author,Work,PlanSelection,FocusSections,Themes,ReadStrategy,IsMissingFromOriginalPlan,PlacementNote,SelectionLogic,GreatIdeas_VolI,GreatIdeas_VolII
189,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 8,8,2,Aristophanes,Ecclesiazusae,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Art; Custom and Convention; Democracy; Desire; Education; Government; Rhetoric; God,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Art; Custom and Convention; Democracy; Desire; Education; Government; God,Rhetoric
190,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 8,8,3,Aristophanes,Plutus,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Art; Custom and Convention; Democracy; Desire; Education; Government; Rhetoric; God,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Art; Custom and Convention; Democracy; Desire; Education; Government; God,Rhetoric
191,Core (1952),core title,Yes,Yes,,Yes,Year 8,8,4,Plato,Gorgias,,Focus: rhetoric vs truth; power; Callicles; the good life argument (Read whole; then re-read these anchors),Rhetoric; Truth; Desire; Good and Evil; Government; Justice; Knowledge; Dialectic,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Good and Evil; Government; Justice; Knowledge; Dialectic,Rhetoric; Truth
192,Core (1952),core title,Yes,Yes,,Yes,Year 8,8,5,Aristotle,Nicomachean Ethics,Book V,Book V (Revisit these as anchors after reading the whole work),Duty; Happiness; Justice; Pleasure and Pain; Prudence; Reasoning; Temperance; Virtue and Vice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Duty; Happiness; Justice,Pleasure and Pain; Prudence; Reasoning; Temperance; Virtue and Vice
193,Core (1952),implicit (Aristotle works volume),Yes,Yes,,Yes,Year 8,8,6,Aristotle,Rhetoric,"Book I, Ch. 1-Book II, Ch. 1; Book II, Ch. 20-Book III, Ch. 1; Book III, Ch. 13-19","Book I, Ch. 1-Book II, Ch. 1; Book II, Ch. 20-Book III, Ch. 1; Book III, Ch. 13-19 (Revisit these as anchors after reading the whole work)",Language; Opinion; Rhetoric; Emotion; Reasoning; Truth; Government; Happiness,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Language; Emotion; Government; Happiness,Opinion; Rhetoric; Reasoning; Truth
194,Core (1952),core title,Yes,Yes,,Yes,Year 8,8,7,St. Augustine,On Christian Doctrine,,Focus: signs vs things; interpretation rules; charity as telos (Read whole; then re-read these anchors),God; Love; Religion; Sin; Soul; Theology; Time; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God; Love,Religion; Sin; Soul; Theology; Time; Truth
195,Core (1952),core title,Yes,Yes,,Yes,Year 8,8,8,Hobbes,Leviathan,Part II,Part II (Revisit these as anchors after reading the whole work),Government; Justice; Law; Liberty; Necessity and Contingency; State; Tyranny and Despotism; Art,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; Justice; Law; Liberty; Art,Necessity and Contingency; State; Tyranny and Despotism
196,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 8,8,9,Shakespeare,Othello,,Focus: manipulation; jealousy formation; key confrontations; final reckoning (Read whole; then re-read these anchors),Desire; Emotion; Fate; Good and Evil; Justice; Love; Tyranny and Despotism; War and Peace,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Emotion; Fate; Good and Evil; Justice; Love,Tyranny and Despotism; War and Peace
197,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 8,8,10,Shakespeare,King Lear,,Focus: division scene; storm; Gloucester subplot; ending suffering/insight (Read whole; then re-read these anchors),Desire; Emotion; Fate; Good and Evil; Justice; Love; Tyranny and Despotism; War and Peace,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Emotion; Fate; Good and Evil; Justice; Love,Tyranny and Despotism; War and Peace
198,Core (1952),core title,Yes,Yes,,Yes,Year 8,8,11,Bacon,Advancement of Learning,"Book I, Ch. 1-Book II, Ch. 11","Book I, Ch. 1-Book II, Ch. 11 (Revisit these as anchors after reading the whole work)",Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
199,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 8,8,12,Descartes,Meditations on the First Philosophy,,Focus: doubt method; cogito; clear/distinct; mind-body; God arguments (Read whole; then re-read these anchors),Knowledge; Mind; Reasoning; Truth; Idea; Metaphysics; Logic; Art,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Idea; Logic; Art,Mind; Reasoning; Truth; Metaphysics
200,Core (1952),core title,Yes,Yes,,Yes,Year 8,8,13,Spinoza,Ethics,Part III,Part III (Revisit these as anchors after reading the whole work),God; Metaphysics; Nature; Reasoning; Truth; Virtue and Vice; Will; Art,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God; Art,Metaphysics; Nature; Reasoning; Truth; Virtue and Vice; Will
201,Core (1952),core title,Yes,Yes,,Yes,Year 8,8,14,Locke,A Letter Concerning Toleration,,Focus: limits of state; conscience; tolerance boundaries (Read whole; then re-read these anchors),Government; Law; Constitution; Experience; Justice; Knowledge; Liberty; Reasoning,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; Law; Constitution; Experience; Justice; Knowledge; Liberty,Reasoning
202,Core (1952),core title,Yes,Yes,,Yes,Year 8,8,15,Rousseau,A Discourse on Political Economy,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Citizen; Democracy; Government; Justice; Law; Liberty; Revolution; State,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Citizen; Democracy; Government; Justice; Law; Liberty,Revolution; State
